location,lat,lon
"Delhi, India",28.6273928,77.1716954
"Gujarat, India",22.3850051,71.745261
India,22.3511148,78.6677428
"New South Wales, Australia",-31.8759835,147.2869493
United Kingdom,54.7023545,-3.2765753
United States,39.7837304,-100.445882
"Uttar Pradesh, India",27.1303344,80.859666
nan,34.220389,70.3800314
Ireland,52.865196,-7.9794599
Norway,61.1529386,8.7876653
Sudan,14.5844444,29.4917691
Poland,52.215933,19.134422
"Pennsylvania, United States",40.9699889,-77.7278831
Finland,63.2467777,25.9209164
Germany,51.1638175,10.4478313
Turkey,39.294076,35.2316631
"Chiang Mai, Thailand",18.7882778,98.9858802
"West Bengal, India",22.9964948,87.6855882
"Ontario, Canada",50.000678,-86.000977
Netherlands,52.2434979,5.6343227
Romania,45.9852129,24.6859225
"Central Visayas, Philippines",10.4734504,123.8648083
Italy,42.6384261,12.674297
Jordan,31.1667049,36.941628
"Qassim, Saudi Arabia",26.1942235,43.4565711
Switzerland,46.7985624,8.2319736
Armenia,40.7696272,44.6736646
Bosnia and Herzegovina,44.3053476,17.5961467
Russian Federation,64.6863136,97.7453061
"Auvergne-Rhône-Alpes, France",45.2968119,4.6604809
Sweden,59.6749712,14.5208584
Israel,30.8124247,34.8594762
Costa Rica,10.2735633,-84.0739102
"Western Cape Province, South Africa",-33.546977,20.72753
"Cordillera Administrative Region, Philippines",17.3597101,121.0716923
Spain,39.3260685,-4.8379791
"Western Australia, Australia",-25.2303005,121.0187246
Cambodia,12.5433216,104.8144914
"Korea, Republic of",36.638392,127.6961188
"National Capital Region, Philippines",14.5736108,121.0329706
"Andhra Pradesh, India",15.9240905,80.1863809
Hong Kong,22.350627,114.1849161
Croatia,45.3658443,15.6575209
"Punjab, India",30.9293211,75.5004841
Portugal,39.6621648,-8.1353519
"Saskatchewan, Canada",55.5321257,-106.141224
Mauritius,-20.2759451,57.5703566
Cyprus,34.9174159,32.8899027
France,46.603354,1.8883335
"Quebec, Canada",52.4760892,-71.8258668
Bangladesh,24.4769288,90.2934413
"Haryana, India",29.0,76.0
"Lombardia, Italy",45.5703694,9.7732524
Austria,47.59397,14.12456
Belgium,50.6402809,4.6667145
